	id	date	year	type	area	location	activity	fatalyn	species	source	time	injury	country
0	2016.09.11	11-Sep-16	2016	Unprovoked	Florida	Ponte Vedra, St. Johns County	Wading	N	3' to 4' shark	News4Jax, 9/11/2016	earlyafternoon	injury	atlantic ocean
1	2016.09.07	07-Sep-16	2016	Unprovoked	Hawaii	Makaha, Oahu	Swimming	N	Tiger shark, 10?	Hawaii News Now, 9/7/2016	earlyafternoon	injury	atlantic ocean
2	2016.08.29.b	29-Aug-16	2016	Unprovoked	Florida	New Smyrna Beach, Volusia County	Surfing	N	Bull shark, 6'	News Channel 8, 8/30/16	earlyafternoon	injury	atlantic ocean
3	2016.07.29	29-Jul-16	2016	Unprovoked	Alicante Province	Arenales del Sol	Swimming	N	Blue shark	Informacion.es, 7/29/2016	morning	injury	atlantic ocean
4	2016.07.07.b	07-Jul-16	2016	Provoked	Massachusetts	Off Gloucester, Essec County	Fishing	N	dogfish shark	Salem News 7/8/2016	morning	death	atlantic ocean
5	2016.07.04	04-Jul-16	2016	Provoked	Queensland	Palm Cove 	Fishing	N	Tawny nurse shark	Cairns Post, 7/9/2016	night	death	pacific ocean
6	2016.06.21.b	21-Jun-16	2016	Unprovoked	South Carolina	North Myrtle Beach, Horry County	Floating	N	3' to 5' shark	C. Creswell, GSAF	earlyafternoon	injury	atlantic ocean
7	2016.06.15.b	15-Jun-16	2016	Unprovoked	Hawaii	Kalapaki Beach, Kauai	Surfing	N	3' to 4' shark	West Hawaii Today, 6/16/2016	earlymorning	injury	atlantic ocean
8	2016.06.14	14-Jun-16	2016	Unprovoked	Texas	Pirates Beach, Galveston	Floating in tube	N	3' to 4' shark	Click2Houston, 6/14/2016	lateafternoon	injury	atlantic ocean
9	2016.06.11	11-Jun-16	2016	Unprovoked	North Carolina	Atlantic Beach, Emerald Isle, Carteret County	Standing	N	3' shark	C. Creswell, GSAF	earlyafternoon	injury	atlantic ocean
10	2016.06.07	07-Jun-16	2016	Invalid	South Carolina	Folly Beach, Charleston County	Surfing	N	Said to involve an 8' shark but more likely damage caused by debris	C. Creswell, GSAF	morning	death	atlantic ocean
11	2016.06.05.a	05-Jun-16	2016	Unprovoked	Western Australia	Mindarie	Diving	Y	3+ m shark	B. Myatt, GSAF	morning	death	pacific ocean
12	2016.05.31	31-May-16	2016	Unprovoked	Western Australia	Falcon Beach, Mandurah	Surfing	Y	White shark	Perth Now, 5/31/2016	afternoon	death	pacific ocean
13	2016.05.29.a	29-May-16	2016	Unprovoked	Florida	Neptune, Duval County	Swimming	N	5' shark	News4Jax, 5/29/2016	earlyafternoon	injury	atlantic ocean
14	2016.05.21.b	21-May-16	2016	Unprovoked	Florida	St. Petersburg, Pinellas County	Swimming	N	Bull shark, 4' to 5'	ABC Action News, 6/15/2016	earlyevening	injury	atlantic ocean
15	2016.05.15	15-May-16	2016	Provoked	Florida	Boca Raton, Palm Beach County	Teasing a shark	N	Nurse shark, 2'	CBS News, 5/16/2016	earlyafternoon	provoked	atlantic ocean
16	2016.04.25	25-Apr-16	2016	Unprovoked	Bali	Balian	Surfing	N	Bull shark, 6'	News.com.au, 4/26/2016	earlymorning	injury	pacific ocean
17	2016.04.22	22-Apr-16	2016	Unprovoked	Western Cape Province	Robberg Beach, Plettenberg Bay	Surf-skiing	N	White shark	Knysna-Plett Herald, 4/22/2016	earlymorning	injury	atlantic ocean
18	2016.04.19	19-Apr-16	2016	Unprovoked	New South Wales	First Sun Beach, Byron Bay	Swimming	N	Wobbegong shark	Gold Coast Bulletin, 4/19/2016	latemorning	injury	pacific ocean
19	2016.04.09	09-Apr-16	2016	Unprovoked	Grand Terre	Poe Beach	Walking	Y	Tiger shark, 2.5 m	Les Nouvelles Caledonnie. 4/11/2016	morning	death	pacific ocean
20	2016.02.10	10-Feb-16	2016	Invalid	Tasmania	Nettley Bay	Surfing	N	No shark involvement	C. Black, GSAF	latemorning	death	pacific ocean
