,Name,Localization,Distance to center,Score,Experiences number,Links
0,hotelF1 Paris Porte de Châtillon,"14th arr., Paris",2.9 miles,7.3,"5,197 reviews",https://www.booking.com//hotel/fr/hotelf1-paris-porte-de-chatillon-paris.html?from=searchresults;#hotelTmpl
1,Lord Byron,"8th arr., Paris",2.5 miles,8.1,5 reviews,https://www.booking.com//hotel/fr/lord-byron.html?from=searchresults;#hotelTmpl
2,CHAMPS ELYSEES UNIVERSITE PARIS,"7th arr., Paris",2 miles,9.2,64 reviews,https://www.booking.com//hotel/fr/champs-elysees-universite-paris.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
3,appartement loft,"2nd arr., Paris",0.8 miles,9.5,53 reviews,https://www.booking.com//hotel/fr/appartement-loft-paris.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
4,Maison Armance,"1st arr., Paris",1.4 miles,9.3,7 reviews,https://www.booking.com//hotel/fr/residencelaconcorde.html?from=searchresults;#hotelTmpl
5,Mabillon - St. Germain Apartment,"6th arr., Paris",0.8 miles,9.2,10 reviews,https://www.booking.com//hotel/fr/rue-de-l-39-echaude.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
6,Loft Basfour by Patios Du Marais,"2nd arr., Paris",0.7 miles,7.9,"1,288 reviews",https://www.booking.com//hotel/fr/loft-basfour-by-patios-du-marais.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
7,Pleasant apartment in the heart of Paris !,"1st arr., Paris",1 miles,9.6,8 reviews,https://www.booking.com//hotel/fr/pleasant-apartment-in-the-heart-of-paris.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
8,Hotel des Pyrénées,"20th arr., Paris",2 miles,8.9,45 reviews,https://www.booking.com//hotel/fr/des-pyrenees.html?from=searchresults;#hotelTmpl
9,Grand luxe Montorgeuil,"2nd arr., Paris",1 miles,8.9,181 reviews,https://www.booking.com//hotel/fr/152-rue-montmartre.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
10,Roi de Sicile - Rivoli,"4th arr., Paris","1,500 feet",8.1,462 reviews,https://www.booking.com//hotel/fr/roi-de-sicile-rivoli.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
11,Chic Studio Notre-Dame,"6th arr., Paris","2,800 feet",6.9,5 reviews,https://www.booking.com//hotel/fr/studio-art-deco.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
12,Hôtel B55,"13th arr., Paris",2.2 miles,7.5,194 reviews,https://www.booking.com//hotel/fr/b55-paris12.html?from=searchresults;#hotelTmpl
13,Hôtel Balzac,"8th arr., Paris",2.6 miles,7.7,368 reviews,https://www.booking.com//hotel/fr/balzac.html?from=searchresults;#hotelTmpl
14,Lovely Duplex - Faubourg Montmartre,"9th arr., Paris",1.5 miles,9.5,18 reviews,https://www.booking.com//hotel/fr/lovely-duplex-faubourg-montmartre.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
15,Hotel du Louvre in the Unbound Collection by Hyatt,"1st arr., Paris",0.9 miles,7.1,6 reviews,https://www.booking.com//hotel/fr/du-louvre.html?from=searchresults;#hotelTmpl
16,Hotel Splendid,"15th arr., Paris",2.6 miles,9.6,23 reviews,https://www.booking.com//hotel/fr/splendid-paris.html?from=searchresults;#hotelTmpl
17,Suite Eliot,"9th arr., Paris",1.2 miles,7.3,5 reviews,https://www.booking.com//hotel/fr/suite-eliot.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
18,Eiffel Tower view Residence,"16th arr., Paris",2.5 miles,7.6,12 reviews,https://www.booking.com//hotel/fr/eiffel-tour-view-apartment.html?from=searchresults;#hotelTmpl
19,Loft entier parisien-Paris11,"11th arr., Paris",1.1 miles,8.7,60 reviews,https://www.booking.com//hotel/fr/loft-entier-parisien-paris11gong-yu.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
20,In the heart of Montmartre,"18th arr., Paris",2.1 miles,8.9,73 reviews,https://www.booking.com//hotel/fr/in-the-heart-of-montmartre-paris.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
21,SUITE STEPHY,"2nd arr., Paris",0.9 miles,8.5,16 reviews,https://www.booking.com//hotel/fr/suite-stephy.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
22,Parisseine Saint Germain Odeon,"6th arr., Paris",0.9 miles,8.6,29 reviews,https://www.booking.com//hotel/fr/parisseine-saint-germain-odeon.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
23,Hotel Etats Unis Opera,"2nd arr., Paris",1.2 miles,9.3,55 reviews,https://www.booking.com//hotel/fr/etatsunisopera.html?from=searchresults;#hotelTmpl
24,Hôtel Parisianer,"12th arr., Paris",1.3 miles,9.8,8 reviews,https://www.booking.com//hotel/fr/parisianer.html?from=searchresults;#hotelTmpl
25,Appartement Caumartin Lafayette,"9th arr., Paris",1.7 miles,9.2,46 reviews,https://www.booking.com//hotel/fr/appartement-caumartin-lafayette.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
26,Studio Saint Germain,"6th arr., Paris",0.7 miles,8.3,105 reviews,https://www.booking.com//hotel/fr/studio-saint-germain.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
27,Milestay-Saint Germain,"6th arr., Paris",1.2 miles,9.0,135 reviews,https://www.booking.com//hotel/fr/milestay-rennes.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
28,Le Studio Musée d'Orsay,"7th arr., Paris",1.1 miles,9.3,37 reviews,https://www.booking.com//hotel/fr/le-studio-musee-d-39-orsay.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
29,HighStay - Louvre / Saint Honoré Serviced Apartments,"1st arr., Paris",1.4 miles,9.0,"3,185 reviews",https://www.booking.com//hotel/fr/highstay-rue-saint-honore-serviced-apartments-paris.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
30,Appartement Pont Neuf à Paris,"3rd arr., Paris","3,100 feet",9.1,739 reviews,https://www.booking.com//hotel/fr/pari-3gu-pongnepeuminbag.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
31,Chambres de la Grande Porte Bed & Breakfast,"10th arr., Paris",1.1 miles,8.1,21 reviews,https://www.booking.com//hotel/fr/chambres-de-la-grande-porte.html?from=searchresults;#hotelTmpl
32,THE RESIDENCE - LUXURY 2 BEDROOM APARTMENT MONTORGUEIL,"2nd arr., Paris",0.8 miles,9.1,367 reviews,https://www.booking.com//hotel/fr/the-residence-luxury-2-bedroom-apartment-montorgueil.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
33,Motel One Paris-Porte Dorée,"12th arr., Paris",3.1 miles,8.5,138 reviews,https://www.booking.com//hotel/fr/motel-one-paris-porte-doree.html?from=searchresults;#hotelTmpl
34,Apartments Du Louvre,"1st arr., Paris","2,800 feet",8.6,13 reviews,https://www.booking.com//hotel/fr/apartments-du-louvre.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
35,Hapimag Resort Paris,"1st arr., Paris","2,800 feet",7.5,421 reviews,https://www.booking.com//hotel/fr/hapimag-paris.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
36,Hôtel Dress Code & Spa,"9th arr., Paris",1.5 miles,9.0,55 reviews,https://www.booking.com//hotel/fr/dress-code-amp-spa.html?from=searchresults;#hotelTmpl
37,CMG Montorgueil / Jeuneurs II,"2nd arr., Paris",0.9 miles,8.0,34 reviews,https://www.booking.com//hotel/fr/cmg-sentier-47-jeuneurs-ii.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
38,Hotel Pierre Nicole,"5th arr., Paris",1.3 miles,9.2,95 reviews,https://www.booking.com//hotel/fr/pierre-nicole.html?from=searchresults;#hotelTmpl
39,Apt 45 m2 Paris Centre,"13th arr., Paris",2.1 miles,8.0,292 reviews,https://www.booking.com//hotel/fr/charm-amp-comfort.html?bhgwe_bhr=0&from=searchresults;#hotelTmpl
